index,name,name_pub,manmask,record,blue_before,blue_after,quanta,ew_before,ew_after,dew_pct,band
1,NGC4395_COMBINED,NGC 4395,3,BEST_iter08_siiv_m2300,-78.78126855460229,-147.88187004671502,-1,314.37886611531724,215.68544246866415,-31.393148294660293,large
2,NGC-4051_COMBINED,NGC  4051,0,REJECT_ALL_iter04_adopted,955.8690657511148,128.44309058521125,-12,131.91990441722524,84.36398774523572,-36.04908363303816,large
3,NGC4151_COMBINED,NGC4151,3,BEST_iter04_adopted,335.5125590520637,335.5125590520637,0,166.79164363195497,163.2069048195254,-2.149231660753771,small
5,NGC 3227_COMBINED,NGC 3227,3,BEST_iter12_troughtrue,404.4969925394556,128.44309058521125,-4,175.4494254240577,181.04019086201563,3.1865396107426256,large
6,NGC1566-NUC_FOS,NGC 1566,0,REJECT_ALL_iter03_allmasks,-493.6365748509283,-493.6365748509283,0,123.16686641914868,123.60845614280218,0.3585296407158197,small
7,NGC 6814_STIS,NGC  6814,3,BEST_iter04_gtr_prior,335.5125590520637,335.5125590520637,0,520.3127491987848,524.2046087560642,0.7479846617774376,small
9,NGC 3516_COMBINED,NGC 3516,3,BEST_iter05_grow3,404.4969925394556,404.4969925394556,0,174.26955285528177,175.60040276583334,0.7636732227440429,small
10,NGC 4593_STIS,NGC  4593,3,BEST_iter03_allmasks,749.2255466349936,473.48142602680343,-4,183.41700582201793,168.30866011348687,-8.237156440767397,large
11,NGC 3783_COMBINED,NGC 3783,3,REJECT_ALL_iter03_allmasks,473.48142602680343,404.4969925394556,-1,94.82446985240897,56.88040237403005,-40.01505891616115,large
11,NGC 3783_FOS,NGC 3783,3,BEST_iter05_strongabsonly,59.38121176138286,59.38121176138286,0,108.81513635567126,108.81709162377248,0.0017968714341690412,unchanged
12,NGC 4253_STIS,NGC 4253,3,BEST_iter08_absorber,-78.78126855460229,-78.78126855460229,0,116.93610346400472,116.91705154472324,-0.016292589471604026,unchanged
