folder,record,name,blue_before,blue_after,ew_before,ew_after,adopted
001_NGC4395_COMBINED,BEST_iter08_siiv_m2300,NGC4395_COMBINED,-78.78126855460229,-839.7978676717526,314.37886611531724,239.8021636655493,True
002_NGC-4051_COMBINED,REJECT_ALL_iter04_adopted,NGC-4051_COMBINED,955.8690657511149,818.1325347858609,131.91990441722524,139.62377430344478,True
003_NGC4151_COMBINED,BEST_iter04_adopted,NGC4151_COMBINED,335.5125590520637,335.5125590520637,166.79164363195497,166.53075090615565,True
005_NGC_3227_COMBINED,BEST_iter12_troughtrue,NGC 3227_COMBINED,404.4969925394556,404.4969925394556,175.4494254240577,175.4372134065701,True
006_NGC1566-NUC_FOS,REJECT_ALL_iter03_allmasks,NGC1566-NUC_FOS,-493.63657485092835,-493.63657485092835,123.16686641914869,123.60845614280218,True
007_NGC_6814_STIS,BEST_iter04_gtr_prior,NGC 6814_STIS,335.5125590520637,335.5125590520637,520.3127491987848,524.2046087560642,True
009_NGC_3516_COMBINED,BEST_iter05_grow3,NGC 3516_COMBINED,404.4969925394556,404.4969925394556,174.26955285528177,184.8853669484015,True
010_NGC_4593_STIS,BEST_iter03_allmasks,NGC 4593_STIS,749.2255466349936,680.3185584841262,183.41700582201793,181.98827105614504,True
011_NGC_3783_COMBINED,REJECT_ALL_iter03_allmasks,NGC 3783_COMBINED,473.48142602680343,473.48142602680343,94.82446985240895,95.81203182849414,True
011_NGC_3783_FOS,BEST_iter05_strongabsonly,NGC 3783_FOS,59.38121176138286,59.38121176138286,108.81513635567126,108.81709162377247,True
012_NGC_4253_STIS,BEST_iter08_absorber,NGC 4253_STIS,-78.78126855460229,-78.78126855460229,116.93610346400472,116.91705154472325,True
013_ESO_499-41_COS,REJECT_ALL_iter01_baseline,ESO 499-41_COS,680.3185584841262,542.4464981800312,4.388147338643033,2.7854931999723793,True
015_Mrk_352_COS,REJECT_ALL_iter01_baseline,Mrk 352_COS,-1255.698686010786,-1186.3463871750678,293.29533075698674,396.6525313779622,True
017_Mrk_1044_COMBINED,BEST_iter06_peakabs,Mrk 1044_COMBINED,197.48560807496355,197.48560807496355,80.01236049759146,82.63680369589663,True
018_NGC-7469_STIS,BEST_iter07_peakblueabs,NGC-7469_STIS,266.5087642305957,197.48560807496355,175.99589836696137,165.74216573881944,True
019_NGC_5548_FOS,BEST_iter03_fullabs,NGC 5548_FOS,-9.680667062489581,-78.78126855460229,244.95947475898134,258.84130921698244,True
020_3C_84_COMBINED,REJECT_ALL_iter03_allmasks,3C 84_COMBINED,9574.141002142673,128.44309058521125,0.0,644.10596615741,True
020_3C_84_FOS,REJECT_ALL_iter02_combmasks,3C 84_FOS,4651.1539355138375,4651.1539355138375,20.632905435263964,20.683913370983,True
022_ESO_462-9_COS,REJECT_ALL_iter03_allmasks,ESO 462-9_COS,1231.1678756744097,1299.9586958205564,445.2373816135964,434.3556472000088,True
023_Mrk_1310_STIS,BEST_iter03_allmasks,Mrk 1310_STIS,197.48560807496355,197.48560807496355,1179.334821572151,1253.993166424638,True
025_Mrk_40_STIS,BEST_iter01_baseline,Mrk 40_STIS,-9.680667062489581,-9.680667062489581,733.3958107371818,722.2504889731156,True
026_Mrk_50_STIS,BEST_iter04_gtr_prior,Mrk 50_STIS,-147.88187004671502,-147.88187004671502,168.3179590446759,168.24197402727742,True
027_ICRF_J171914.4+485849_FOS,REJECT_ALL_iter03_allmasks,ICRF J171914.4+485849_FOS,2261.3070191289908,2261.3070191289908,125.72523067152011,134.26111870567226,True
028_UGC_12163_COMBINED,REJECT_ALL_iter02_noncivmasks,UGC 12163_COMBINED,266.5087642305957,266.5087642305957,32.8544196375405,32.957057410997386,True
028_UGC_12163_FOS,REJECT_ALL_iter03_allmasks,UGC 12163_FOS,-78.78126855460229,-78.78126855460229,59.38201726596459,59.38201778832558,True
029_Mrk_335_COMBINED,REJECT_ALL_iter02_noncivmasks,Mrk 335_COMBINED,59.38121176138286,59.38121176138286,96.63557988845346,94.50987138780283,True
029_Mrk_335_FOS,BEST_iter08_gtr_plus1510abs,Mrk 335_FOS,-78.78126855460229,-78.78126855460229,80.70497435749922,80.70543987179614,True
030_NGC_863_COS,BEST_iter04_gtr_prior,NGC 863_COS,-78.78126855460229,-78.78126855460229,225.04952557288865,197.9569916862505,True
031_ESO_31-8_COS,REJECT_ALL_iter03_allmasks,ESO 31-8_COS,-562.8339830136417,-562.8339830136417,141.52992669794904,141.52591661770515,True
032_Z_291-51_STIS,BEST_iter06_gtr_hand_z69,Z 291-51_STIS,-9.680667062489581,-78.78126855460229,218.22007007173684,228.19983614415636,True
033_Z_229-15_STIS,BEST_iter03_allmasks,Z 229-15_STIS,266.5087642305957,266.5087642305957,241.25310407403236,239.20078023824098,True
035_2MASX-J00391586-5117013_COS,BEST_iter11_gtr_hand2,2MASX-J00391586-5117013_COS,404.4969925394556,404.4969925394556,22.670942111031714,23.135538931589583,True
036_Mrk_290_COS,BEST_iter02_gtr_hand,Mrk 290_COS,266.5087642305957,266.5087642305957,199.36663809056137,203.7048734243227,True
037_Mrk_279_STIS,BEST_iter01_gtr_prior,Mrk 279_STIS,-78.78126855460229,-78.78126855460229,105.30158840875319,111.16801802080582,True
038_Mrk_493_STIS,BEST_iter04_itermasks,Mrk 493_STIS,197.48560807496355,128.44309058521125,155.7427658228923,153.9470035518104,True
039_Mrk_817_STIS,BEST_iter05_gtr_hand2,Mrk 817_STIS,128.44309058521125,-147.88187004671502,88.39276888309928,73.65952413559535,True
040_AKN120_STIS,REJECT_ALL_iter03_allmasks,AKN120_STIS,1231.1678756744097,1437.4822521104009,112.13517239554838,117.55839619826213,True
042_RXS-J00057-5007_COS,BEST_iter03_allmasks,RXS-J00057-5007_COS,-286.1411570333448,-147.88187004671502,66.50684415275748,62.276312993166435,True
044_Mrk_509_COMBINED,BEST_iter01_baseline,Mrk 509_COMBINED,197.48560807496355,128.44309058521125,142.45975672391,136.8555907215799,True
045_Pic_A_FOS,BEST_iter09_gtr_hand,Pic A_FOS,266.5087642305957,335.5125590520637,244.99747499384358,278.09066513343964,True
046_Mrk_110_COS,BEST_iter05_gtr_hand,Mrk 110_COS,-78.78126855460229,-78.78126855460229,368.52083999458125,368.34425576550956,True
047_Mrk_1392_STIS,BEST_iter04_gtr_hand,Mrk 1392_STIS,473.48142602680343,473.48142602680343,135.124011723317,135.12404907218004,True
048_Mrk_841_COS,BEST_iter05_gtr_hand,Mrk 841_COS,1368.7301546325386,-9.680667062489581,1547.1660525077718,155.8268392358614,True
049_ESO_141-55_COS,BEST_iter04_gtr_prior,ESO 141-55_COS,335.5125590520637,473.48142602680343,119.98490704192486,119.94181044083012,True
050_Mrk_1179_COS,REJECT_ALL_iter03_allmasks,Mrk 1179_COS,2124.151328187517,2261.3070191289908,30.86661032998837,31.0433252315801,True
051_Mrk_486_COMBINED,BEST_iter01_baseline,Mrk 486_COMBINED,59.38121176138286,59.38121176138286,53.428970834118466,53.90187953483932,True
052_LEDA_1771917_COS,BEST_iter07_gtr_hand_zNED_open1525,LEDA 1771917_COS,197.48560807496355,197.48560807496355,126.02009253995084,88.53950526980339,True
053_LEDA_88588_STIS,BEST_iter05_gtr_hand,LEDA 88588_STIS,2466.90502620236,2398.385264733984,14.815648697168434,14.516247025573863,True
054_Mrk_231_COS,BEST_iter02_gtr_hand,Mrk 231_COS,2603.886465136709,1712.3357513488445,12.065441224740251,47.88760743128376,True
056_Mrk_1018_COS,BEST_iter05_gtr_hand2,Mrk 1018_COS,-355.2804811936978,-217.00183287294783,389.8825551080064,280.3159014433544,True
057_NGC_985_COS,BEST_iter03_allmasks,NGC 985_COS,-9.680667062489581,59.38121176138286,87.11115651379748,83.94535866087827,True
058_IRASF12397+3333_COS,REJECT_ALL_iter03_allmasks,IRASF12397+3333_COS,3970.3126210083356,3902.1413635542094,23.98836868185248,24.96398027173229,True
059_Mrk_142_STIS,BEST_iter05_gtr_hand,Mrk 142_STIS,335.5125590520637,335.5125590520637,60.86362266122486,60.890735074594176,True
060_ESO_113-45_FOS,BEST_iter05_gtr_hand_z-69b,ESO 113-45_FOS,-78.78126855460229,-78.78126855460229,191.5907563412009,191.58949068224948,True
061_Z_535-12_COS,BEST_iter08_gtr_plus_spike_high,Z 535-12_COS,-147.88187004671502,-217.00183287294783,274.75306014000057,429.5469062349057,True
062_Mrk_1253_COS,BEST_iter04_gtr_prior,Mrk 1253_COS,680.3185584841262,887.0008002684879,313.4875749681148,304.0584395016921,True
064_3C390.3_FOS,BEST_iter04_gtr_prior,3C390.3_FOS,611.3922089991388,611.3922089991388,229.40308977439926,240.13129020679503,True
065_ICRF_J183503.3+324146_STIS,REJECT_ALL_iter03_allmasks,ICRF J183503.3+324146_STIS,-78.78126855460229,-839.7978676717526,415.54142649050635,241.75445324551222,True
066_2MASS_J00505073+3536429_COS,BEST_iter04_gtr_prior,2MASS J00505073+3536429_COS,266.5087642305957,404.4969925394556,362.68159379926027,297.03338519684866,True
067_QSO_B1011-040_COS,BEST_iter01_baseline,QSO B1011-040_COS,266.5087642305957,266.5087642305957,49.44822460975603,42.06871169165862,True
068_LEDA_89176_COS,REJECT_ALL_iter03_allmasks,LEDA 89176_COS,-2715.930505718027,-2715.930505718027,45.146777855435005,45.07253394269556,True
069_Mrk_1298_COS,REJECT_ALL_iter03_allmasks,Mrk 1298_COS,197.48560807496355,749.2255466349936,8.077825444980009,22.515858033774137,True
070_Mrk_1502_COMBINED,BEST_iter01_baseline,Mrk 1502_COMBINED,1231.1678756744097,1231.1678756744097,26.430498157223195,26.649491225190037,True
071_TON-S180_STIS,BEST_iter01_baseline,TON-S180_STIS,749.2255466349936,749.2255466349936,33.5807577193313,33.67942934549778,True
072_Mrk_1513_COS,BEST_iter01_gtr_prior,Mrk 1513_COS,266.5087642305957,266.5087642305957,187.1738693058159,178.63162122200455,True
073_LEDA_3095485_STIS,BEST_iter04_gtr_prior,LEDA 3095485_STIS,266.5087642305957,266.5087642305957,49.57331915695746,49.56161022256701,True
074_MR_2251-178_COS,BEST_iter02_gtr_junkmasked,MR 2251-178_COS,611.3922089991388,611.3922089991388,518.4625939996093,522.7458584677456,True
075_Mrk_1148_COS,BEST_iter03_allmasks,Mrk 1148_COS,197.48560807496355,-147.88187004671502,206.30618718113283,181.1355746976765,True
076_Ton_951_COMBINED,REJECT_ALL_iter01_baseline,Ton 951_COMBINED,680.3185584841262,680.3185584841262,27.93068137062368,27.63908692977247,True
077_Mrk_771_COMBINED,REJECT_ALL_iter03_allmasks,Mrk 771_COMBINED,542.4464981800312,542.4464981800312,230.87808533841985,232.17325228852374,True
078_2MASS_J16151905-0936132_COS,REJECT_ALL_iter03_allmasks,2MASS J16151905-0936132_COS,-78.78126855460229,-78.78126855460229,498.0871744074323,498.1416695305396,True
079_LEDA_88835_STIS,BEST_iter02_gtr_prior_zNED,LEDA 88835_STIS,2740.8098200686536,2672.3675039368018,17.420058807736115,18.037421683076627,True
080_LEDA_3095694_COS,REJECT_ALL_iter03_allmasks,LEDA 3095694_COS,-9.680667062489581,-9.680667062489581,105.26374426536759,105.21955538200658,True
081_Mrk_205_FOS,BEST_iter04_gtr_prior,Mrk 205_FOS,197.48560807496355,197.48560807496355,106.60523762085197,106.6111181885496,True
082_Mrk_478_COMBINED,BEST_iter04_gtr_stismasks,Mrk 478_COMBINED,680.3185584841262,680.3185584841262,44.752536312043866,44.65393922884188,True
083_1RXS_J185800.9+485020_COS,BEST_iter08_gtr_hand2,1RXS J185800.9+485020_COS,128.44309058521125,128.44309058521125,247.1332850361676,247.03655586648804,True
084_LEDA_3096578_COS,REJECT_ALL_iter03_allmasks,LEDA 3096578_COS,1437.4822521104009,1437.4822521104009,192.48801048181733,192.47385636378897,True
085_LEDA_2100384_COS,REJECT_ALL_iter03_allmasks,LEDA 2100384_COS,-1047.6805121718269,-770.5230141725146,361.0882486735394,396.0872679831593,True
086_PB_3894_COMBINED,BEST_iter07_gtr_hand,PB 3894_COMBINED,128.44309058521125,128.44309058521125,97.48457065133408,94.11019793368082,True
087_2MASS_J12323582+0603098_COS,REJECT_ALL_iter03_allmasks,2MASS J12323582+0603098_COS,-770.5230141725146,-424.45852802229103,1.5156787933742912,50.93499560148769,True
088_Mrk_1383_STIS,BEST_iter04_gtr_prior,Mrk 1383_STIS,611.3922089991388,1162.3770555283074,77.35955721243919,86.60460455044245,True
089_PG1351+640_COMBINED,BEST_iter04_trough1531_1546,PG1351+640_COMBINED,-286.1411570333448,-493.63657485092835,43.66737413774544,38.52646867576549,True
090_LEDA_50824_FOS,BEST_iter01_gtr_prior,LEDA 50824_FOS,-424.45852802229103,-424.45852802229103,83.65994515563871,83.63813548897758,True
091_Mrk_1501_COMBINED,REJECT_ALL_iter03_allmasks,Mrk 1501_COMBINED,59.38121176138286,59.38121176138286,152.33705220843478,152.32568643238832,True
092_2MASS_J08105865+7602424_COMBINED,BEST_iter04_gtr_masks,2MASS J08105865+7602424_COMBINED,335.5125590520637,335.5125590520637,34.77872423766066,35.25257659423875,True
093_2MASS_J22484115-5109532_COS,BEST_iter05_gtr_hand,2MASS J22484115-5109532_COS,-9.680667062489581,-9.680667062489581,135.54410745178194,135.27824319791122,True
094_LEDA_10293_COS,BEST_iter06_gtr_comps_high,LEDA 10293_COS,473.48142602680343,473.48142602680343,70.75512838456794,70.76382924871223,True
095_LB_1727_COS,BEST_iter01_gtr_prior,LB 1727_COS,59.38121176138286,-9.680667062489581,120.97906789521333,120.69533069396749,True
097_Ton_S_210_STIS,REJECT_ALL_iter02_noncivmasks,Ton S 210_STIS,-1463.8717505227507,-493.63657485092835,239.41604069786789,151.4101633508164,True
098_2MASS_J12305003+0115226_COMBINED,BEST_iter05_gtr_hand,2MASS J12305003+0115226_COMBINED,1849.685055631564,1918.3209851047052,16.0167770532874,16.930314939143464,True
099_LEDA_3095439_COS,BEST_iter07_gtr_hand,LEDA 3095439_COS,-286.1411570333448,-493.63657485092835,132.3617195998154,144.03497081160634,True
100_SWIFT_J2325.6+2157_COS,BEST_iter06_gtr_hand,SWIFT J2325.6+2157_COS,404.4969925394556,128.44309058521125,163.24446917268062,166.2748538590253,True
101_LEDA_52314_COMBINED,BEST_iter05_gtr_stismasks_z129,LEDA 52314_COMBINED,59.38121176138286,128.44309058521125,81.61014220441074,59.464114237254705,True
102_QSO_J0623-6436_COS,BEST_iter05_allmasks_comps_high,QSO J0623-6436_COS,-286.1411570333448,-78.78126855460229,91.69126651287426,96.35127748260238,True
103_Mrk_876_COMBINED,BEST_iter04_gtr_cosmasks,Mrk 876_COMBINED,473.48142602680343,335.5125590520637,44.24079354266578,43.07206628165642,True
104_PG1416-129_FOS,BEST_iter04_gtr_hand,PG1416-129_FOS,128.44309058521125,128.44309058521125,364.06974049185123,364.06207939336633,True
105_MCG+13-07-002_COS,BEST_iter04_gtr_comps_high,MCG+13-07-002_COS,473.48142602680343,473.48142602680343,40.993414661442856,38.86250471023768,True
106_QSO_B1626+5529_COS,BEST_iter03_allmasks,QSO B1626+5529_COS,-9.680667062489581,-147.88187004671502,63.786156318331294,66.32768735081173,True
107_ZTF_J004818.97+394111.8_COS,BEST_iter05_gtr_hand,ZTF J004818.97+394111.8_COS,266.5087642305957,473.48142602680343,51.72768369824064,53.68180732185295,True
108_LEDA_1790_FOS,BEST_iter01_gtr_prior,LEDA 1790_FOS,128.44309058521125,128.44309058521125,38.11549738108507,38.114375927860934,True
109_LEDA_82580_COS,REJECT_ALL_iter03_allmasks,LEDA 82580_COS,-632.0507525105193,-4463.523246508488,769.5313695833592,131.4571163704445,True
110_LEDA_3237_COMBINED,BEST_iter05_gtr_hand,LEDA 3237_COMBINED,335.5125590520637,266.5087642305957,114.65885842426204,113.8080868652692,True
112_PG1402+261_COMBINED,BEST_iter03_allmasks,PG1402+261_COMBINED,473.48142602680343,473.48142602680343,38.205284558652444,38.205284558652444,True
113_PG1322+659_STIS,BEST_iter07_allmasks_uvonly,PG1322+659_STIS,-217.00183287294783,-217.00183287294783,75.41621279331457,74.989217877633,True
114_QSO_B1725-142_COS,BEST_iter01_baseline,QSO B1725-142_COS,3765.740764643641,2809.252136200549,34.46404473961488,43.020845757002625,True
115_2MASS_J00435499+4234302_COS,BEST_iter03_gtr_comps_low,2MASS J00435499+4234302_COS,335.5125590520637,335.5125590520637,310.2875503455261,303.83121576794633,True
116_ICRF_J213745.1-143255_FOS,BEST_iter01_gtr_prior,ICRF J213745.1-143255_FOS,-78.78126855460229,-78.78126855460229,177.50598520292763,177.50455104057818,True
117_OX169_FOS,BEST_iter01_gtr_prior,OX169_FOS,404.4969925394556,404.4969925394556,30.54433702799542,30.544334355410516,True
118_LBQS1317-0142_FOS,BEST_iter03_gtr_comps_high,LBQS1317-0142_FOS,887.0008002684879,887.0008002684879,59.852522918932664,59.85252375481315,True
119_PG0953+415_COS,BEST_iter03_baseline_comps_low,PG0953+415_COS,611.3922089991388,542.4464981800312,40.0025032201366,42.54225552759981,True
